Student Id,Country Code,Enrolled Year,Age,Gender,Experienced,Course Code,Engagement Month,Engagement Year,Engagement Type
1,IN,1,2021,40,M,false,JMC,FEBRUARY,2021,Lecture 11
1,IN,1,2021,40,M,false,PYC,JUNE,2022,Lecture 7
2,CN,11,2019,85,U,false,JMC,JUNE,2023,Lecture 9
2,CN,11,2019,85,U,false,PYC,DECEMBER,2023,Lecture 3
3,US,9,2017,72,F,true,JMC,MAY,2017,Lecture 7
3,US,9,2017,72,F,true,PYC,FEBRUARY,2018,Lecture 13
4,CN,5,2023,29,F,false,JMC,APRIL,2023,Lecture 7
4,CN,5,2023,29,F,false,PYC,OCTOBER,2023,Lecture 8
5,GB,6,2015,45,M,false,JMC,JUNE,2021,Lecture 9
5,GB,6,2015,45,M,false,PYC,NOVEMBER,2015,Lecture 11
6,US,8,2023,18,M,true,JMC,DECEMBER,2024,Lecture 6
6,US,8,2023,18,M,true,PYC,JANUARY,2024,Lecture 7
7,AU,10,2023,62,U,true,JMC,NOVEMBER,2024,Lecture 1
7,AU,10,2023,62,U,true,PYC,DECEMBER,2023,Lecture 1
8,GB,3,2019,66,U,true,JMC,OCTOBER,2023,Lecture 1
8,GB,3,2019,66,U,true,PYC,AUGUST,2020,Lecture 11
9,IN,5,2022,55,F,true,JMC,AUGUST,2024,Lecture 6
9,IN,5,2022,55,F,true,PYC,NOVEMBER,2023,Lecture 10
10,CN,6,2016,33,U,true,JMC,FEBRUARY,2022,Lecture 1
10,CN,6,2016,33,U,true,PYC,MARCH,2019,Lecture 10
11,AU,9,2018,78,F,false,JMC,MAY,2024,Lecture 10
11,AU,9,2018,78,F,false,PYC,JANUARY,2023,Lecture 4
12,IN,2,2021,80,M,false,JMC,APRIL,2023,Lecture 12
12,IN,2,2021,80,M,false,PYC,MAY,2024,Lecture 14
13,CN,11,2024,74,F,false,JMC,DECEMBER,2024,Lecture 14
13,CN,11,2024,74,F,false,PYC,DECEMBER,2024,Lecture 12
14,US,12,2016,60,M,true,JMC,FEBRUARY,2019,Lecture 11
14,US,12,2016,60,M,true,PYC,MARCH,2022,Lecture 9
15,GB,3,2022,30,M,false,JMC,MAY,2022,Lecture 12
15,GB,3,2022,30,M,false,PYC,APRIL,2022,Lecture 12
16,CN,12,2015,19,M,false,JMC,AUGUST,2021,Lecture 7
16,CN,12,2015,19,M,false,PYC,SEPTEMBER,2022,Lecture 14
17,CN,5,2022,44,U,true,JMC,JULY,2023,Lecture 13
17,CN,5,2022,44,U,true,PYC,JUNE,2023,Lecture 2
18,GB,1,2015,63,U,false,JMC,APRIL,2019,Lecture 2
18,GB,1,2015,63,U,false,PYC,JULY,2019,Lecture 7
19,IN,12,2015,18,M,true,JMC,DECEMBER,2018,Lecture 12
19,IN,12,2015,18,M,true,PYC,SEPTEMBER,2020,Lecture 7
20,CN,7,2015,45,F,false,JMC,APRIL,2015,Lecture 2
20,CN,7,2015,45,F,false,PYC,FEBRUARY,2016,Lecture 5
21,GB,9,2021,29,F,false,JMC,NOVEMBER,2022,Lecture 14
21,GB,9,2021,29,F,false,PYC,FEBRUARY,2023,Lecture 10
22,GB,2,2018,89,U,true,JMC,JULY,2024,Lecture 1
22,GB,2,2018,89,U,true,PYC,MARCH,2019,Lecture 5
23,CN,6,2023,61,M,true,JMC,SEPTEMBER,2024,Lecture 4
23,CN,6,2023,61,M,true,PYC,APRIL,2023,Lecture 13
24,CN,1,2019,52,F,true,JMC,JANUARY,2021,Lecture 2
